Sec	mm	kN
19.087891	0.18040626	12.603377
19.1875	0.1329309	11.379097
19.287109	0.10444569	10.958251
19.386719	0.17091119	9.2748652
19.486328	0.094950616	8.20362
19.585938	0.028485119	7.9740667
19.685547	0.066465408	6.5233316
19.785156	0.056970332	5.5314798
19.884766	0.056970332	4.6922207
19.984375	-9.3946397e-08	3.2425916
20.083984	-0.018990235	2.8229623
20.183594	-9.3946397e-08	1.9455551
20.283203	-9.3946397e-08	0.038148206
20.382813	0.056970332	0.45777771
20.482422	-0.04747545	-1.8311105
20.582031	-0.0094951652	-1.6785179
20.681641	-0.028485307	-2.2507401
20.78125	-9.3946397e-08	-3.5859249
20.880859	-0.037980378	-4.4633322
20.980469	-0.075960666	-5.5696278
21.080078	-0.11394095	-7.286294
21.179688	-0.075960666	-7.8966641
